p_station,long,lat,incidentdate,passengers,maincategory,injuredpersons,county,constituency
THIKA POLICE STATION,37.0754725,-1.03806,2011-08-22T00:00:00Z,14,INJURY,1,Kiambu,Thika Town
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-25T00:00:00Z,25,INJURY,1,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-05T00:00:00Z,14,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-08-26T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2011-08-29T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2011-08-21T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-05T00:00:00Z,41,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2011-08-23T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2011-08-12T00:00:00Z,51,NON INJURY,0,Nairobi,Embakasi East
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-02T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-01T00:00:00Z,14,INJURY,1,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-22T00:00:00Z,14,INJURY,1,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-07-02T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2011-08-29T00:00:00Z,14,INJURY,0,NA,NA
GATUNDU POLICE STATION,36.9018625,-1.0109663,2011-08-24T00:00:00Z,14,INJURY,1,Kiambu,Gatundu South
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-07-31T00:00:00Z,14,INJURY,2,Nairobi,Starehe
NYANDARUA POLICE ST. HQ,36.37675,-0.27477,2011-08-24T00:00:00Z,14,INJURY,1,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-05T00:00:00Z,46,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-02T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-01T00:00:00Z,8,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2011-08-22T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2011-08-25T00:00:00Z,14,INJURY,2,Nairobi,Starehe
MTWAPA POLICE POST,39.7424844,-3.9539112,2011-08-24T00:00:00Z,14,INJURY,0,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-07-30T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-08-20T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi Central
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2011-08-17T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2011-08-24T00:00:00Z,51,INJURY,1,Kajiado,Kajiado North
TIMAU POLICE STATION,37.2422361,0.0866675,2011-01-16T00:00:00Z,14,INJURY,0,NA,NA
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2011-08-27T00:00:00Z,14,INJURY,7,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-08-23T00:00:00Z,46,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-08-13T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-29T00:00:00Z,14,INJURY,1,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2011-08-24T00:00:00Z,14,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2011-08-06T00:00:00Z,13,NON INJURY,0,NA,NA
TIGONI POLICE STATION,36.6735756,-1.1272436,2011-09-01T00:00:00Z,14,INJURY,2,Kiambu,Limuru
KIKUYU POLICE STATION,36.6636128,-1.2433244,2011-08-25T00:00:00Z,14,INJURY,0,Kiambu,Kikuyu
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-30T00:00:00Z,37,NON INJURY,0,Nairobi,Starehe
TIGONI POLICE STATION,36.6735756,-1.1272436,2011-08-23T00:00:00Z,14,INJURY,6,Kiambu,Limuru
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2011-08-18T00:00:00Z,13,INJURY,1,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-08-31T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-29T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2011-07-29T00:00:00Z,51,NON INJURY,0,Nairobi,Makadara
KABETE POLICE STATION,36.7262163,-1.2624066,2011-08-20T00:00:00Z,51,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2011-08-29T00:00:00Z,13,INJURY,1,NA,NA
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2011-08-27T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi East
MERU POLICE STATION,37.6521474,0.04736240000000001,2011-08-26T00:00:00Z,14,INJURY,8,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-06-24T00:00:00Z,29,INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2011-08-27T00:00:00Z,14,INJURY,7,NA,NA
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2011-08-27T00:00:00Z,13,NON INJURY,0,Nairobi,Westlands
MAKUPA POLICE STATION,39.6582959,-4.0427702,2011-07-21T00:00:00Z,13,INJURY,1,NA,NA
MAKUYU POLICE STATION,37.1929479,-0.9066025,2011-08-27T00:00:00Z,14,INJURY,11,Murang'a,Maragwa
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2011-07-23T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado North
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-27T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-01T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
MAKUYU POLICE STATION,37.1929479,-0.9066025,2011-08-28T00:00:00Z,14,NON INJURY,0,Murang'a,Maragwa
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-28T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
BURU BURU POLICE STATION,36.879342,-1.279412,2011-06-18T00:00:00Z,14,INJURY,0,Nairobi,Embakasi West
MAKINDU POLICE POST,37.8233141,-2.2809927,2011-08-23T00:00:00Z,40,INJURY,32,NA,NA
KILIFI POLICE STATION,39.8552461,-3.6341898,2011-08-27T00:00:00Z,14,INJURY,0,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-25T00:00:00Z,29,INJURY,1,Nairobi,Starehe
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2011-07-27T00:00:00Z,14,INJURY,2,Kajiado,Kajiado North
MARAGUA POLICE STATION,37.1342352,-0.7965338,2011-08-31T00:00:00Z,14,INJURY,0,Murang'a,Maragwa
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2011-08-27T00:00:00Z,14,NON INJURY,0,NA,NA
MAKUYU POLICE STATION,37.1929479,-0.9066025,2011-09-04T00:00:00Z,36,NON INJURY,0,Murang'a,Maragwa
CHUKA POLICE STATION,37.64880720000001,-0.3309361,2011-09-02T00:00:00Z,14,NON INJURY,0,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-05T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-07-27T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
KASARANI POLICE DIVISION ( HQ),36.8940529,-1.2195529,2011-09-01T00:00:00Z,14,INJURY,1,Nairobi,Kasarani
LIKONI POLICE STATION,39.6555349,-4.0825334,2011-08-29T00:00:00Z,13,INJURY,3,NA,NA
MAKUPA POLICE STATION,39.6582959,-4.0427702,2011-08-31T00:00:00Z,13,INJURY,1,NA,NA
SAGANA POLICE STATION,37.2176074,-0.6638580000000001,2011-08-28T00:00:00Z,14,NON INJURY,0,NA,NA
NYALI POLICE POST,39.6932239,-4.0525078,2011-08-30T00:00:00Z,13,INJURY,1,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-07-30T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-02T00:00:00Z,14,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-08-27T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-08-02T00:00:00Z,14,INJURY,1,Nairobi,Kasarani
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-07-08T00:00:00Z,14,INJURY,1,Nairobi,Starehe
CHANGAMWE POLICE STATION,39.6265878,-4.025462699999999,2011-05-15T00:00:00Z,14,INJURY,1,NA,NA
BURU BURU POLICE STATION,36.879342,-1.279412,2011-06-13T00:00:00Z,26,INJURY,0,Nairobi,Embakasi West
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-08-14T00:00:00Z,14,INJURY,1,Nairobi,Embakasi Central
MTWAPA POLICE POST,39.7424844,-3.9539112,2011-08-26T00:00:00Z,14,INJURY,1,NA,NA
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2011-08-31T00:00:00Z,14,INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-09-01T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-07-23T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2011-08-31T00:00:00Z,14,INJURY,2,Nairobi,Westlands
KABETE POLICE STATION,36.7262163,-1.2624066,2011-08-30T00:00:00Z,14,INJURY,1,Nairobi,Westlands
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2011-08-29T00:00:00Z,13,INJURY,1,NA,NA
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2011-08-27T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2011-08-19T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-06T00:00:00Z,51,INJURY,1,Nairobi,Kasarani
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-10T00:00:00Z,14,INJURY,3,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2011-09-01T00:00:00Z,29,NON INJURY,0,Nairobi,Makadara
KABETE POLICE STATION,36.7262163,-1.2624066,2011-09-03T00:00:00Z,46,NON INJURY,0,Nairobi,Westlands
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2011-09-01T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
ATHI RIVER POLICE STATION,36.9850203,-1.4518996,2011-08-24T00:00:00Z,11,NON INJURY,0,Machakos,Mavoko
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2011-09-03T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado North
UPLANDS POLICE STATION,36.63999099999999,-1.0395239,2011-09-05T00:00:00Z,14,INJURY,13,Kiambu,Lari
CHUKA POLICE STATION,37.64880720000001,-0.3309361,2011-09-04T00:00:00Z,10,INJURY,1,NA,NA
KASARANI POLICE DIVISION ( HQ),36.8940529,-1.2195529,2011-09-05T00:00:00Z,14,INJURY,2,Nairobi,Kasarani
KILIMANI POLICE STATION,36.7952424,-1.2914363,2011-08-24T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-09-06T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-09-05T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
SUBUKIA POLICE STATION,36.1968244,-0.0192254,2011-09-03T00:00:00Z,14,INJURY,4,NA,NA
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-09-01T00:00:00Z,14,INJURY,1,Nairobi,Embakasi Central
KASARANI POLICE DIVISION ( HQ),36.8940529,-1.2195529,2011-05-05T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2011-09-03T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
SOTIK POLICE STATION,35.1093419,-0.691906,2011-09-02T00:00:00Z,14,NON INJURY,0,NA,NA
NAIVASHA POLICE STATION,36.4385605,-0.7247779000000001,2011-09-02T00:00:00Z,14,NON INJURY,0,NA,NA
CHANGAMWE POLICE STATION,39.6265878,-4.025462699999999,2011-09-04T00:00:00Z,14,INJURY,0,NA,NA
NAIVASHA POLICE STATION,36.4385605,-0.7247779000000001,2011-08-27T00:00:00Z,14,NON INJURY,0,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-09-02T00:00:00Z,14,INJURY,1,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-03T00:00:00Z,14,INJURY,8,Nairobi,Kasarani
KERUGOYA POLICE STATION,37.2821903,-0.4974898999999999,2011-09-02T00:00:00Z,51,INJURY,1,NA,NA
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2011-02-02T00:00:00Z,25,NON INJURY,0,Nairobi,Makadara
BURU BURU POLICE DIVISION HQ,103.845113,1.3845704,2011-08-20T00:00:00Z,25,NON INJURY,0,NA,NA
THIKA POLICE STATION,37.0754725,-1.03806,2011-09-05T00:00:00Z,14,INJURY,0,Kiambu,Thika Town
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2011-09-03T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-08-30T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
RUIRU POLICE STATION,36.9593125,-1.1449416,2011-07-16T00:00:00Z,14,INJURY,3,Kiambu,Ruiru
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-04T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
KASARANI POLICE DIVISION ( HQ),36.8940529,-1.2195529,2011-08-20T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-06T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
KABETE POLICE STATION,36.7262163,-1.2624066,2011-08-22T00:00:00Z,66,NON INJURY,0,Nairobi,Westlands
NAIROBI AREA  POLICE STATION,36.80772,-1.29727,2011-08-27T00:00:00Z,46,NON INJURY,0,Nairobi,Kibra
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-09-03T00:00:00Z,33,INJURY,1,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-08T00:00:00Z,46,NON INJURY,0,Nairobi,Kasarani
RUIRU POLICE STATION,36.9593125,-1.1449416,2011-09-02T00:00:00Z,14,INJURY,1,Kiambu,Ruiru
RUIRU POLICE STATION,36.9593125,-1.1449416,2011-09-01T00:00:00Z,14,NON INJURY,0,Kiambu,Ruiru
NAIROBI AREA  POLICE STATION,36.80772,-1.29727,2011-09-07T00:00:00Z,51,NON INJURY,0,Nairobi,Kibra
JUJA POLICE STATION,37.0176762,-1.1042346,2011-08-30T00:00:00Z,14,INJURY,0,Kiambu,Juja
BURU BURU POLICE STATION,36.879342,-1.279412,2011-01-01T00:00:00Z,46,INJURY,0,Nairobi,Embakasi West
KITUI POLICE STATION,38.06127550000001,-0.9321472000000001,2011-08-23T00:00:00Z,41,INJURY,1,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-09-05T00:00:00Z,25,INJURY,1,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-17T00:00:00Z,26,NON INJURY,0,Nairobi,Starehe
GATUNDU POLICE STATION,36.9018625,-1.0109663,2011-09-09T00:00:00Z,14,INJURY,1,Kiambu,Gatundu South
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-26T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
NAKURU POLICE STATION HQ,36.1537013,-0.2891843,2011-09-07T00:00:00Z,11,INJURY,1,NA,NA
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2011-09-08T00:00:00Z,51,NON INJURY,0,Nairobi,Embakasi East
KASARANI POLICE DIVISION ( HQ),36.8940529,-1.2195529,2011-09-06T00:00:00Z,14,INJURY,1,Nairobi,Kasarani
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-08T00:00:00Z,14,INJURY,2,Nairobi,Kasarani
TIGONI POLICE STATION,36.6735756,-1.1272436,2011-06-28T00:00:00Z,14,NON INJURY,0,Kiambu,Limuru
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-09-04T00:00:00Z,14,INJURY,3,Nairobi,Embakasi Central
KILIMANI POLICE STATION,36.7952424,-1.2914363,2011-07-16T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
NAIVASHA POLICE STATION,36.4385605,-0.7247779000000001,2011-09-01T00:00:00Z,62,INJURY,0,NA,NA
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2011-09-09T00:00:00Z,14,INJURY,2,Nairobi,Embakasi East
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-09-04T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2011-09-01T00:00:00Z,14,INJURY,1,Nairobi,Embakasi East
KIAMBU POLICE STATION HQ,36.8322078,-1.1731839,2011-09-08T00:00:00Z,14,INJURY,1,Kiambu,Kiambu
JUJA POLICE STATION,37.0176762,-1.1042346,2011-09-04T00:00:00Z,14,NON INJURY,0,Kiambu,Juja
CHUKA POLICE STATION,37.64880720000001,-0.3309361,2011-09-09T00:00:00Z,14,NON INJURY,0,NA,NA
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2011-09-08T00:00:00Z,14,NON INJURY,0,NA,NA
BURU BURU POLICE STATION,36.879342,-1.279412,2011-09-04T00:00:00Z,14,INJURY,1,Nairobi,Embakasi West
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-04T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2011-09-04T00:00:00Z,48,NON INJURY,0,NA,NA
KAREN POLICE STATION,36.7062672,-1.3219421,2011-09-05T00:00:00Z,14,NON INJURY,0,Nairobi,Langata
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-08-11T00:00:00Z,33,NON INJURY,0,Nairobi,Embakasi Central
NYALI POLICE STATION,39.6932239,-4.0525078,2011-09-07T00:00:00Z,14,NON INJURY,0,NA,NA
KASARANI POLICE DIVISION ( HQ),36.8940529,-1.2195529,2011-09-05T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-08-27T00:00:00Z,46,INJURY,0,Nairobi,Embakasi Central
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2011-09-06T00:00:00Z,14,NON INJURY,0,NA,NA
BURU BURU POLICE STATION,36.879342,-1.279412,2011-08-21T00:00:00Z,51,NON INJURY,0,Nairobi,Embakasi West
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-19T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
ATHI RIVER POLICE STATION,36.9850203,-1.4518996,2011-09-12T00:00:00Z,29,NON INJURY,0,Machakos,Mavoko
BURU BURU POLICE STATION,36.879342,-1.279412,2011-08-23T00:00:00Z,26,NON INJURY,0,Nairobi,Embakasi West
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-09-01T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi Central
BURU BURU POLICE STATION,36.879342,-1.279412,2011-07-10T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi West
BURU BURU POLICE STATION,36.879342,-1.279412,2011-08-17T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi West
MAKUPA POLICE STATION,39.6582959,-4.0427702,2011-09-06T00:00:00Z,14,NON INJURY,0,NA,NA
KASARANI POLICE DIVISION ( HQ),36.8940529,-1.2195529,2011-09-02T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-09-05T00:00:00Z,14,INJURY,1,Nairobi,Embakasi Central
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-01T00:00:00Z,51,INJURY,0,Nairobi,Kasarani
MWIKI POLICE STATION,36.9361369,-1.2371544,2011-08-27T00:00:00Z,14,INJURY,2,Nairobi,Kasarani
BURU BURU POLICE STATION,36.879342,-1.279412,2011-08-11T00:00:00Z,51,NON INJURY,0,Nairobi,Embakasi West
KILIMANI POLICE STATION,36.7952424,-1.2914363,2011-09-02T00:00:00Z,46,NON INJURY,0,Nairobi,Dagoretti North
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-07-20T00:00:00Z,35,NON INJURY,0,Nairobi,Embakasi Central
BURU BURU POLICE STATION,36.879342,-1.279412,2011-07-12T00:00:00Z,25,NON INJURY,0,Nairobi,Embakasi West
CENTRAL POLICE STATION-NAKURU,36.0701438,-0.2883555,2011-09-11T00:00:00Z,14,NON INJURY,0,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-05-05T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
RUIRU POLICE STATION,36.9593125,-1.1449416,2011-08-26T00:00:00Z,14,INJURY,3,Kiambu,Ruiru
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2011-09-12T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-09-05T00:00:00Z,25,INJURY,1,Nairobi,Starehe
GILGIL POLICE STATION,36.4385605,-0.7247779000000001,2011-09-09T00:00:00Z,14,NON INJURY,0,NA,NA
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2011-08-25T00:00:00Z,14,INJURY,1,Nairobi,Embakasi East
MAKUPA POLICE STATION,39.6582959,-4.0427702,2011-09-07T00:00:00Z,14,INJURY,1,NA,NA
BURU BURU POLICE DIVISION HQ,103.845113,1.3845704,2011-08-26T00:00:00Z,51,NON INJURY,0,NA,NA
GIGIRI POLICE STATION,36.8095575,-1.2363428,2011-09-06T00:00:00Z,8,NON INJURY,0,Nairobi,Westlands
THIKA POLICE STATION,37.0754725,-1.03806,2011-09-11T00:00:00Z,14,NON INJURY,0,Kiambu,Thika Town
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-08T00:00:00Z,14,INJURY,10,Nairobi,Kasarani
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2011-09-05T00:00:00Z,14,INJURY,1,Nairobi,Westlands
GITHUNGURI POLICE STATION,36.7772511,-1.0577522,2011-09-05T00:00:00Z,8,NON INJURY,0,Kiambu,Githunguri
KAYOLE POLICE STATION,36.9261067,-1.2644254,2011-08-28T00:00:00Z,46,NON INJURY,0,Nairobi,Embakasi Central
BAHATI POLICE STATION,36.1175108,-0.1595161,2011-09-10T00:00:00Z,14,NON INJURY,0,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-09-06T00:00:00Z,14,INJURY,1,Nairobi,Starehe
MUTHANGARI POLICE STATION,36.7727649,-1.2663719,2011-09-14T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2011-09-07T00:00:00Z,0,INJURY,1,NA,NA
SAGANA POLICE STATION,37.2176074,-0.6638580000000001,2011-09-12T00:00:00Z,14,INJURY,2,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-09-01T00:00:00Z,14,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-09-08T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2011-09-03T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
BAHATI POLICE STATION,36.1175108,-0.1595161,2011-08-19T00:00:00Z,14,NON INJURY,0,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-08-08T00:00:00Z,25,INJURY,1,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2011-09-12T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2011-09-11T00:00:00Z,25,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2011-09-13T00:00:00Z,14,INJURY,1,Nairobi,Dagoretti North
KASARANI POLICE STATION,36.8932931,-1.2195671,2011-09-03T00:00:00Z,26,INJURY,1,Nairobi,Kasarani
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-09-10T00:00:00Z,25,INJURY,2,Nairobi,Starehe
KITUI POLICE STATION,38.06127550000001,-0.9321472000000001,2011-09-13T00:00:00Z,14,INJURY,1,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-09-06T00:00:00Z,14,INJURY,1,Nairobi,Starehe
KANGUNDO POLICE STATION,37.3150423,-1.2681441,2011-09-11T00:00:00Z,14,INJURY,12,Machakos,Matungulu
KILELESHWA POLICE STATION,36.7942262,-1.2754653,2011-09-14T00:00:00Z,13,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI DIVISIONAL HQ,36.80772,-1.29727,2011-09-08T00:00:00Z,29,NON INJURY,0,Nairobi,Kibra
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-08-14T00:00:00Z,51,INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2011-09-04T00:00:00Z,26,NON INJURY,0,Nairobi,Starehe
KIAMBU POLICE STATION HQ,36.8322078,-1.1731839,2011-09-13T00:00:00Z,14,INJURY,2,Kiambu,Kiambu
MAKUYU POLICE STATION,37.1929479,-0.9066025,2011-09-06T00:00:00Z,11,NON INJURY,0,Murang'a,Maragwa
ATHI RIVER POLICE STATION,36.9850203,-1.4518996,2011-09-05T00:00:00Z,41,INJURY,2,Machakos,Mavoko
MAKUYU POLICE STATION,37.1929479,-0.9066025,2011-09-08T00:00:00Z,14,INJURY,1,Murang'a,Maragwa
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2011-09-06T00:00:00Z,14,INJURY,1,Nairobi,Embakasi East
UGUNJA POLICE STATION,34.2005628,0.3087798,2011-09-13T00:00:00Z,67,NON INJURY,0,NA,NA
